pathway	bonobo	chimpanzee	gorilla	olive_baboon	orangutan	pigtailed_macaque	rhesus_macaque	squirrel_monkey	human_related_bonobo 	human_related_chimpanzee 	human_related_gorilla 	human_related_olive_baboon 	human_related_orangutan 	human_related_pigtailed_macaque 	human_related_rhesus_macaque 	human_related_squirrel_monkey 	sum
hsa04672 Intestinal immune network for IgA production	0.0547749942915039	0.0672272952845599	0.211970408424875	0.421963791802322	0.0172231182500612	0.417891494891058	0.28673670132287	0.0643420365141385	0.112505922699932	0.152915117354245	0.0630986066317377	0.08946097006692	0.0522686577030729	0.114237992798195	0.110163175860666	0.0622394551973548	2.29901973909351
hsa04210 Apoptosis	0.175184879583711	0.117710542646494	0.247123493779745	0.343949917235746	0.239809272990018	0.151434122684068	0.956791261386075	0.0105450041624141	0.112505922699932	0.0631355099421478	0.0827578333170431	0.0846589012390097	0.175912800509979	0.0582881553456347	0.0705680888329434	0.0622394551973548	2.95261516155232
hsa04650 Natural killer cell mediated cytotoxicity	0.14192042106066	0.0710628516846528	0.18945235811253	0.421963791802322	0.050732114080827	0.527785444221145	0.842381419201585	0.156295056430059	0.112505922699932	0.0348943423323271	0.0827578333170431	0.0602403378045101	0.0408958389676857	0.114237992798195	0.110163175860666	0.147938861215977	3.10522776159012
hsa04380 Osteoclast differentiation	0.383533997559772	0.193392967623427	0.322272091270073	0.30739548951786	0.0445634210728273	0.14600904039566	0.740554062675275	0.00826218321667583	0.461074549220608	0.22978401830995	0.374583229228167	0.273734582813712	0.282874336214649	0.327101404131068	0.230430714004879	0.320419279280783	4.64598536653538
hsa04610 Complement and coagulation cascades	0.0638170738651892	0.0253010102974338	0.522195685996362	0.918556507477903	0.00923609711178885	0.999865054359696	0.552391061446455	0.148345731327243	0.102805571840736	0.0647695764826076	0.0861807833289959	0.526050993300212	0.0531073530524064	0.327556524450037	0.110163175860666	0.137906177826162	4.64824837802389
hsa00380 Tryptophan metabolism	0.360058956107993	0.23621554544138	0.400390833401813	0.625228127865795	0.4342442165003	0.284743946432208	0.740554062675275	0.445220144305729	0.332368826588002	0.336804882102755	0.279768667193408	0.317547937792427	0.317488841852644	0.408359034281513	0.320795183086297	0.361804507780157	6.20159371340769
hsa04145 Phagosome	0.0929858724981861	0.232658276305232	0.322272091270073	0.500932922590682	0.0569288006047539	0.999865054359696	0.997849634214764	0.999998331130623	0.310958908419116	0.21137700466293	0.458691491001877	0.486126659044061	0.317488841852644	0.638719377334079	0.659992287732001	0.706453893262761	7.99329944628348
hsa04670 Leukocyte transendothelial migration	0.277701198245857	0.534603271485105	0.400390833401813	0.864132575864029	0.239809272990018	0.999865054359696	0.997849634214764	0.682074951228229	0.584631645065811	0.598915409046132	0.794475811052388	0.657351922460944	0.717015993997627	0.643928563985985	0.555815905113973	0.706453893262761	10.2550159357751
hsa04974 Protein digestion and absorption	0.197258137573357	0.23621554544138	0.68369380504929	0.151391331962357	0.721448323300573	0.999865054359696	0.152995309078543	0.999998331130623	0.743307440387202	0.889589380221368	0.820339591194525	0.785020777414168	0.717015993997627	0.702023933084975	0.917142867168719	0.725468424217345	10.4427742455817
hsa04970 Salivary secretion	0.306545570505161	0.700456129702624	0.400390833401813	0.625228127865795	0.30671038961121	0.999865054359696	0.974442076919471	0.983052834423801	0.70676039796532	0.598915409046132	0.786180853853106	0.720549040116176	0.659192093496112	0.617274728327888	0.697077317805052	0.706453893262761	10.7890947506621
hsa00590 Arachidonic acid metabolism	0.468360517262651	0.858608569260763	0.734059551835325	0.742951339821264	0.4342442165003	0.981013720529929	0.974442076919471	0.818760465970565	0.644909810940048	0.647305684393088	0.703057977097419	0.46745792063351	0.586522756246968	0.638719377334079	0.459778765420375	0.706453893262761	10.8666466434285
hsa04972 Pancreatic secretion	0.385318961965059	0.708665569285605	0.734951594114916	0.626747191541134	0.30671038961121	0.999865054359696	0.997849634214764	0.999998331130623	0.734236555692012	0.705950882494289	0.794475811052388	0.732164483519153	0.659192093496112	0.638719377334079	0.86959259690042	0.706453893262761	11.6008924199742
hsa04971 Gastric acid secretion	0.515809106006979	0.432817173830476	0.734951594114916	0.988654956860904	0.4342442165003	0.999865054359696	0.997849634214764	0.999998331130623	0.70676039796532	0.60881969416458	0.820339591194525	0.749685187070435	0.717015993997627	0.638719377334079	0.771934952258613	0.706453893262761	11.8239191542666
hsa04920 Adipocytokine signaling pathway	0.544875201855468	0.498055813090523	0.859980126624087	0.889698625319816	0.26807167962405	0.527785444221145	0.997849634214764	0.811152447592608	0.792255961835276	0.889589380221368	0.820339591194525	0.732164483519153	0.717015993997627	0.807377070637828	0.86959259690042	0.916505628558806	11.9423096794075
hsa04976 Bile secretion	0.410281224639938	0.326632979780103	0.734951594114916	0.918556507477903	0.610637002166322	0.999865054359696	0.997849634214764	0.999998331130623	0.792255961835276	0.76836480087638	0.820440587683115	0.749685187070435	0.744709278466611	0.680753360871166	0.86959259690042	0.706453893262761	12.1310279948504
hsa04662 B cell receptor signaling pathway	0.544875201855468	0.824630421246614	0.606710016449286	0.962198001404528	0.873961940154999	0.987290660764645	0.997849634214764	0.817272055499385	0.644909810940048	0.598915409046132	0.820339591194525	0.732164483519153	0.717015993997627	0.638719377334079	0.751929275377221	0.706453893262761	12.2252357662612
hsa00260 Glycine, serine and threonine metabolism	0.683901659315664	0.999997689511831	0.960383992794624	0.918556507477903	0.652811779291447	0.999865054359696	0.906852378465145	0.999998331130623	0.677351110183992	0.60881969416458	0.774904929193309	0.730339633448949	0.613058586486616	0.638719377334079	0.659992287732001	0.827054486119204	12.6526074970097
hsa04340 Hedgehog signaling pathway	0.546463102267682	0.995759748943643	0.783338537873562	0.888854901833216	0.630827049259136	0.999865054359696	0.849467625306885	0.813674661533832	0.792255961835276	0.889589380221368	0.794475811052388	0.732164483519153	0.717015993997627	0.696072021760608	0.824031270673741	0.706453893262761	12.6603094977006
hsa04664 Fc epsilon RI signaling pathway	0.802799367022217	0.840672756162545	0.928460086254617	0.962198001404528	0.706077435163057	0.999865054359696	0.997849634214764	0.929641240453326	0.740774652503913	0.648929753027799	0.820339591194525	0.730339633448949	0.586522756246968	0.680753360871166	0.659992287732001	0.706453893262761	12.7416695033228
hsa04270 Vascular smooth muscle contraction	0.385318961965059	0.781184378484528	0.76614985133501	0.962198001404528	0.30671038961121	0.999865054359696	0.997849634214764	0.999998331130623	0.792255961835276	0.889589380221368	0.820440587683115	0.785020777414168	0.734114997324589	0.785885873318953	0.86959259690042	0.982404702347809	12.8585794795511
hsa00250 Alanine, aspartate and glutamate metabolism	0.546463102267682	0.781184378484528	0.960383992794624	0.684925424507817	0.564092225091079	0.999865054359696	0.997849634214764	0.635615380638916	0.85997866238385	0.889589380221368	0.92256930372678	0.859379268521075	0.787026803491337	0.71537616725465	0.917142867168719	0.827054486119204	12.9484961312461
hsa04512 ECM-receptor interaction	0.175184879583711	0.999997689511831	0.928460086254617	0.400444397156357	0.4342442165003	0.999865054359696	0.152995309078543	0.965787425620882	0.959369024708079	0.978440623063528	0.986048731115528	0.999998117486148	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	12.9666393606852
hsa00760 Nicotinate and nicotinamide metabolism	0.683901659315664	0.895442136493612	0.928460086254617	0.825944747410595	0.631968574436326	0.981013720529929	0.849467625306885	0.918519264079941	0.875837476739717	0.889589380221368	0.820440587683115	0.749685187070435	0.717015993997627	0.696072021760608	0.799360480505815	0.790589268637853	13.0533082104441
hsa00330 Arginine and proline metabolism	0.546463102267682	0.858608569260763	0.962501271715962	0.999975484281727	0.700747438418295	0.999865054359696	0.997849634214764	0.864441618455674	0.721794803744482	0.889589380221368	0.820339591194525	0.749685187070435	0.744709278466611	0.680753360871166	0.697077317805052	0.982404702347809	13.216805794696
hsa00830 Retinol metabolism	0.688017946438397	0.824630421246614	0.714645585622674	0.516087082899153	0.630827049259136	0.623658041087204	0.558540423111066	0.999998331130623	0.9999986308008	0.978440623063528	0.900946359113978	0.999998117486148	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	13.4215924175053
hsa00140 Steroid hormone biosynthesis	0.515809106006979	0.498055813090523	0.783338537873562	0.625228127865795	0.881128568965239	0.999865054359696	0.997849634214764	0.682074951228229	0.908083228890281	0.978440623063528	0.92256930372678	0.999400061432266	0.863511733792065	0.927259114764057	0.935576976612702	0.982404702347809	13.5005955382343
hsa04010 MAPK signaling pathway	0.857340754487564	0.999997689511831	0.960383992794624	0.962198001404528	0.799597979875028	0.999865054359696	0.997849634214764	0.999998331130623	0.792255961835276	0.876367872111779	0.794475811052388	0.730339633448949	0.717015993997627	0.638719377334079	0.799360480505815	0.743870814047008	13.6696373821116
hsa04360 Axon guidance	0.544875201855468	0.824630421246614	0.962501271715962	0.684925424507817	0.700747438418295	0.999865054359696	0.997849634214764	0.353973141760129	0.942149201445916	0.999999667206385	0.930297360470513	0.999400061432266	0.863511733792065	0.919887959118115	0.978081126301684	0.982404702347809	13.6850994001935
hsa04975 Fat digestion and absorption	0.546463102267682	0.840524521727535	0.999992676042341	0.962198001404528	0.376869169230098	0.999865054359696	0.997849634214764	0.999998331130623	0.833554137283499	0.889589380221368	0.820440587683115	0.842176298379093	0.863511733792065	0.807377070637828	0.917142867168719	0.995260242960159	13.6928128085031
hsa04960 Aldosterone-regulated sodium reabsorption	0.683901659315664	0.758011080738661	0.888181599524839	0.918556507477903	0.4342442165003	0.999865054359696	0.997849634214764	0.948946316760958	0.85997866238385	0.945758731439328	0.930297360470513	0.999400061432266	0.787026803491337	0.919887959118115	0.917142867168719	0.930455050860836	13.9195035652577
hsa02010 ABC transporters	0.683901659315664	0.981582702589163	0.928460086254617	0.971366443058893	0.623495686329312	0.999865054359696	0.997849634214764	0.811152447592608	0.908083228890281	0.889589380221368	0.820440587683115	0.785020777414168	0.863511733792065	0.807377070637828	0.917142867168719	0.982404702347809	13.9712440618701
hsa00360 Phenylalanine metabolism	0.683901659315664	0.708665569285605	0.928460086254617	0.918556507477903	0.432751598485284	0.999865054359696	0.997849634214764	0.999998331130623	0.908083228890281	0.889589380221368	0.92256930372678	0.919180267333185	0.863511733792065	0.919887959118115	0.917142867168719	0.982404702347809	13.9924178831225
hsa00770 Pantothenate and CoA biosynthesis	0.707886207782416	0.999997689511831	0.954534699526086	0.971366443058893	0.721448323300573	0.999865054359696	0.997849634214764	0.999998331130623	0.908083228890281	0.889589380221368	0.820440587683115	0.785020777414168	0.734114997324589	0.702023933084975	0.824031270673741	0.982404702347809	13.9986552605249
hsa03320 PPAR signaling pathway	0.468360517262651	0.498055813090523	0.928460086254617	0.962198001404528	0.352994023549635	0.999865054359696	0.936135583899286	0.999998331130623	0.994253909161727	0.999999667206385	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	14.1261217289851
hsa04740 Olfactory transduction	0.683901659315664	0.840524521727535	0.783338537873562	0.971366443058893	0.789941124262999	0.999865054359696	0.997849634214764	0.999998331130623	0.880130463075581	0.889589380221368	0.89924752488324	0.999400061432266	0.863511733792065	0.638719377334079	0.917142867168719	0.999997267386646	14.1545239812377
hsa04660 T cell receptor signaling pathway	0.873329146752429	0.758011080738661	0.964091273421606	0.962198001404528	0.721448323300573	0.981013720529929	0.997849634214764	0.650057513210568	0.908083228890281	0.891788854445014	0.930297360470513	0.919180267333185	0.823125549115583	0.919887959118115	0.917142867168719	0.982404702347809	14.1999094824623
hsa04742 Taste transduction	0.546463102267682	0.895442136493612	0.960383992794624	0.888854901833216	0.850179370188556	0.999865054359696	0.997849634214764	0.999998331130623	0.930944074624857	0.889589380221368	0.820440587683115	0.837549715818269	0.863511733792065	0.919887959118115	0.86959259690042	0.982404702347809	14.2529572737888
hsa04973 Carbohydrate digestion and absorption	0.660226240228444	0.824630421246614	0.999992676042341	0.786906421326098	0.666745044184554	0.999865054359696	0.997849634214764	0.948946316760958	0.908083228890281	0.889589380221368	0.930297360470513	0.999400061432266	0.781746335883361	0.919887959118115	0.978081126301684	0.982404702347809	14.2746519630289
hsa00983 Drug metabolism - other enzymes	0.683901659315664	0.858608569260763	0.960383992794624	0.962198001404528	0.873961940154999	0.999865054359696	0.956791261386075	0.999998331130623	0.908083228890281	0.889589380221368	0.851549136111633	0.919180267333185	0.818237990996341	0.919887959118115	0.917142867168719	0.982404702347809	14.5017843419944
hsa00533 Glycosaminoglycan biosynthesis - keratan sulfate	0.999999739832039	0.999997689511831	0.960383992794624	0.971366443058893	0.795603971619586	0.999865054359696	0.997849634214764	0.948946316760958	0.880130463075581	0.889589380221368	0.820440587683115	0.880845479980818	0.787026803491337	0.819537403305265	0.899358106733918	0.999997267386646	14.6509383340304
hsa04320 Dorso-ventral axis formation	0.688017946438397	0.999997689511831	0.960383992794624	0.962198001404528	0.82044075249664	0.999865054359696	0.997849634214764	0.887120477904913	0.908083228890281	0.889589380221368	0.930297360470513	0.999400061432266	0.863511733792065	0.919887959118115	0.917142867168719	0.982404702347809	14.7261908425665
hsa04012 ErbB signaling pathway	0.802799367022217	0.895442136493612	0.960383992794624	0.999975484281727	0.564092225091079	0.999865054359696	0.997849634214764	0.948946316760958	0.908083228890281	0.978440623063528	0.938945355819681	0.999400061432266	0.863511733792065	0.97107764753703	0.9512987766996	0.995260242960159	14.7753718812133
hsa00512 Mucin type O-Glycan biosynthesis	0.540247395843849	0.858608569260763	0.928460086254617	0.971366443058893	0.799597979875028	0.999865054359696	0.997849634214764	0.948946316760958	0.942149201445916	0.995760086613	0.995641575909541	0.999400061432266	0.823125549115583	0.999997615494366	0.978081126301684	0.999997267386646	14.7790939633276
hsa00350 Tyrosine metabolism	0.683901659315664	0.824630421246614	0.960383992794624	0.962198001404528	0.631968574436326	0.999865054359696	0.997849634214764	0.999998331130623	0.984209994403964	0.889589380221368	0.930297360470513	0.999998117486148	0.999997259897049	0.999997615494366	0.935576976612702	0.999997267386646	14.8004596408756
hsa04916 Melanogenesis	0.803610900351963	0.999997689511831	0.960383992794624	0.988654956860904	0.850179370188556	0.999865054359696	0.997849634214764	0.999998331130623	0.908083228890281	0.889589380221368	0.930297360470513	0.785020777414168	0.863511733792065	0.919887959118115	0.9512987766996	0.999997267386646	14.8482264134057
hsa00601 Glycosphingolipid biosynthesis - lacto and neolacto series	0.903278286989352	0.999997689511831	0.962501271715962	0.999975484281727	0.999997996449088	0.999865054359696	0.997849634214764	0.813674661533832	0.908083228890281	0.889589380221368	0.92256930372678	0.919180267333185	0.863511733792065	0.815949659476384	0.899358106733918	0.982404702347809	14.877786461578
hsa04510 Focal adhesion	0.432532935930552	0.858608569260763	0.928460086254617	0.988654956860904	0.765978613874713	0.999865054359696	0.997849634214764	0.999998331130623	0.9999986308008	0.999999667206385	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	14.9577472215593
hsa04744 Phototransduction	0.557317961393651	0.858608569260763	0.999992676042341	0.999975484281727	0.881128568965239	0.999865054359696	0.997849634214764	0.999998331130623	0.908083228890281	0.889589380221368	0.938945355819681	0.999400061432266	0.999997259897049	0.987705000482432	0.985481143600535	0.999997267386646	15.0039349773791
hsa04614 Renin-angiotensin system	0.683901659315664	0.895442136493612	0.960383992794624	0.825944747410595	0.881128568965239	0.999865054359696	0.888579161036844	0.999998331130623	0.947137077700674	0.999999667206385	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	15.0681811380794
hsa00340 Histidine metabolism	0.683901659315664	0.824630421246614	0.962501271715962	0.999975484281727	0.82044075249664	0.999865054359696	0.997849634214764	0.813674661533832	0.9999986308008	0.999999667206385	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.995339954953912	0.999997267386646	15.0981662703235
hsa04530 Tight junction	0.660226240228444	0.840524521727535	0.960383992794624	0.999975484281727	0.881128568965239	0.999865054359696	0.997849634214764	0.999998331130623	0.942149201445916	0.978440623063528	0.938945355819681	0.999998117486148	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	15.1852889317639
hsa04370 VEGF signaling pathway	0.707886207782416	0.895442136493612	0.962501271715962	0.999975484281727	0.751073253106508	0.999865054359696	0.997849634214764	0.999998331130623	0.959369024708079	0.978440623063528	0.999998817933341	0.999998117486148	0.982277097127696	0.999997615494366	0.985481143600535	0.999997267386646	15.2201510798856
hsa04730 Long-term depression	0.688017946438397	0.999997689511831	0.928460086254617	0.999975484281727	0.894292961121427	0.999865054359696	0.997849634214764	0.999998331130623	0.942149201445916	0.978440623063528	0.996002886826923	0.999998117486148	0.863511733792065	0.999997615494366	0.978081126301684	0.999997267386646	15.2666357591104
hsa00980 Metabolism of xenobiotics by cytochrome P450	0.802799367022217	0.781184378484528	0.928460086254617	0.962198001404528	0.850179370188556	0.999865054359696	0.997849634214764	0.965787425620882	0.9999986308008	0.999999667206385	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	15.2741223572224
hsa00120 Primary bile acid biosynthesis	0.654027471379527	0.840524521727535	0.960383992794624	0.971366443058893	0.938358658147428	0.999865054359696	0.997849634214764	0.999998331130623	0.959369024708079	0.978440623063528	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	15.2859844962501
hsa04810 Regulation of actin cytoskeleton	0.512721424570833	0.999997689511831	0.928460086254617	0.999975484281727	0.881128568965239	0.999865054359696	0.997849634214764	0.999998331130623	0.9999986308008	0.999999667206385	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	15.305795312962
hsa00100 Steroid biosynthesis	0.999999739832039	0.999997689511831	0.999992676042341	0.999975484281727	0.411442033389805	0.999865054359696	0.997849634214764	0.965787425620882	0.9999986308008	0.999999667206385	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	15.3607087769257
hsa00534 Glycosaminoglycan biosynthesis - heparan sulfate	0.802700580383991	0.895442136493612	0.976944937075686	0.999975484281727	0.881128568965239	0.999865054359696	0.997849634214764	0.999998331130623	0.959369024708079	0.978440623063528	0.930297360470513	0.999998117486148	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	15.4078136588796
hsa00982 Drug metabolism - cytochrome P450	0.92033007684758	0.858608569260763	0.960383992794624	0.999975484281727	0.721448323300573	0.999865054359696	0.997849634214764	0.999998331130623	0.9999986308008	0.999999667206385	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	15.444258505863
hsa04540 Gap junction	0.683901659315664	0.999997689511831	0.962501271715962	0.971366443058893	0.881128568965239	0.999865054359696	0.997849634214764	0.999998331130623	0.9999986308008	0.999999667206385	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.999638966103736	0.999997267386646	15.4962349945811
hsa00561 Glycerolipid metabolism	0.873329146752429	0.981582702589163	0.928460086254617	0.999975484281727	0.881128568965239	0.999865054359696	0.997849634214764	0.887120477904913	0.9999986308008	0.978440623063528	0.986048731115528	0.999998117486148	0.999997259897049	0.999997615494366	0.985481143600535	0.999997267386646	15.4992705441671
hsa04966 Collecting duct acid secretion	0.823042038486766	0.824630421246614	0.960383992794624	0.962198001404528	0.999997996449088	0.999865054359696	0.997849634214764	0.999998331130623	0.959369024708079	0.999999667206385	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.985481143600535	0.999997267386646	15.5128043837993
hsa00270 Cysteine and methionine metabolism	0.999999739832039	0.999997689511831	0.962501271715962	0.962198001404528	0.926852030499529	0.999865054359696	0.997849634214764	0.948946316760958	0.930944074624857	0.978440623063528	0.938945355819681	0.999400061432266	0.982277097127696	0.927259114764057	0.978081126301684	0.982404702347809	15.5159618937809
hsa00604 Glycosphingolipid biosynthesis - ganglio series	0.88186222968989	0.895442136493612	0.960383992794624	0.962198001404528	0.894292961121427	0.999865054359696	0.997849634214764	0.999998331130623	0.9999986308008	0.999999667206385	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	15.5776913808818
hsa04146 Peroxisome	0.857340754487564	0.999997689511831	0.928460086254617	0.999975484281727	0.881128568965239	0.999865054359696	0.997849634214764	0.999998331130623	0.9999986308008	0.999999667206385	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	15.6504146428787
hsa04144 Endocytosis	0.999999739832039	0.999997689511831	0.999992676042341	0.999975484281727	0.894292961121427	0.999865054359696	0.997849634214764	0.999998331130623	0.908083228890281	0.889589380221368	0.999998817933341	0.999400061432266	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	15.6748468652177
hsa00010 Glycolysis / Gluconeogenesis	0.999999739832039	0.981582702589163	0.999992676042341	0.85695576025404	0.859029508195472	0.999865054359696	0.997849634214764	0.999998331130623	0.9999986308008	0.999999667206385	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	15.6810724462908
hsa00230 Purine metabolism	0.882933243501201	0.999997689511831	0.962501271715962	0.999975484281727	0.881128568965239	0.999865054359696	0.997849634214764	0.999998331130623	0.9999986308008	0.999999667206385	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	15.7100483173537
hsa04330 Notch signaling pathway	0.999999739832039	0.999997689511831	0.976944937075686	0.999975484281727	0.881128568965239	0.999865054359696	0.997849634214764	0.999998331130623	0.947137077700674	0.978440623063528	0.995641575909541	0.999400061432266	0.982277097127696	0.987705000482432	0.978081126301684	0.999997267386646	15.7244392687761
hsa04150 mTOR signaling pathway	0.926410860062179	0.999997689511831	0.960383992794624	0.999975484281727	0.873961940154999	0.999865054359696	0.997849634214764	0.999998331130623	0.9999986308008	0.999999667206385	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	15.7442420261831
hsa03010 Ribosome	0.999999739832039	0.999997689511831	0.964091273421606	0.999975484281727	0.789941124262999	0.999865054359696	0.997849634214764	0.999998331130623	0.9999986308008	0.999999667206385	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.999994259643208	0.999997267386646	15.7516999668632
hsa00071 Fatty acid metabolism	0.88186222968989	0.999997689511831	0.999992676042341	0.999975484281727	0.894292961121427	0.999865054359696	0.997849634214764	0.999998331130623	0.9999986308008	0.999999667206385	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	15.7596331000249
hsa04115 p53 signaling pathway	0.823042038486766	0.999997689511831	0.962501271715962	0.999975484281727	0.999997996449088	0.999865054359696	0.997849634214764	0.999998331130623	0.9999986308008	0.999999667206385	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.999994259643208	0.999997267386646	15.7832091359984
hsa00410 beta-Alanine metabolism	0.882933243501201	0.999997689511831	0.999992676042341	0.999975484281727	0.926852030499529	0.999865054359696	0.997849634214764	0.999998331130623	0.9999986308008	0.999999667206385	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	15.7932631832143
hsa00051 Fructose and mannose metabolism	0.999999739832039	0.999997689511831	0.999992676042341	0.962198001404528	0.850179370188556	0.999865054359696	0.997849634214764	0.999998331130623	0.9999986308008	0.999999667206385	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	15.795879536357
hsa04070 Phosphatidylinositol signaling system	0.999999739832039	0.999997689511831	0.960383992794624	0.999975484281727	0.881128568965239	0.999865054359696	0.997849634214764	0.999998331130623	0.977095009882389	0.999999667206385	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	15.8020939138448
hsa04350 TGF-beta signaling pathway	0.999999739832039	0.999997689511831	0.999992676042341	0.988654956860904	0.850179370188556	0.999865054359696	0.997849634214764	0.999998331130623	0.9999986308008	0.999999667206385	0.999998817933341	0.999998117486148	0.999997259897049	0.999997615494366	0.985811663467886	0.999997267386646	15.8223364918134
