pathway	bonobo	chimpanzee	gorilla	olive_baboon	orangutan	pigtailed_macaque	rhesus_macaque	squirrel_monkey	human_related_bonobo 	human_related_chimpanzee 	human_related_gorilla 	human_related_olive_baboon 	human_related_orangutan 	human_related_pigtailed_macaque 	human_related_rhesus_macaque 	human_related_squirrel_monkey 	sum
hsa04210 Apoptosis	0.211036314047811	0.122375927279959	0.320935007274943	0.411597499412945	0.438315135223878	0.156038726921863	0.957646013534953	0.014810114632338	0.123494589599612	0.0578164687640224	0.0837910425932482	0.0908347950117327	0.180046928914375	0.0596326569585662	0.066701702531602	0.0708505536406608	3.36592347634251
hsa04650 Natural killer cell mediated cytotoxicity	0.215897337194924	0.0682194212487951	0.287504756638964	0.594565028183933	0.0611758518170496	0.553068539793486	0.842922041700915	0.208156930852736	0.123494589599612	0.0249463306353316	0.0562318944112489	0.0594181985689528	0.0399509692376424	0.0742347877896113	0.0783046354187958	0.151696774347214	3.43978808743921
hsa04610 Complement and coagulation cascades	0.061515652598804	0.0237854896820456	0.397732755744389	0.647187269209396	0.00630362529674607	0.999882676305564	0.591350084926068	0.125610648429729	0.0731804147674294	0.0471238712548275	0.0997707729784872	0.286275367148655	0.0365418128846504	0.335722264791177	0.0958876004296946	0.131886718635583	3.95975702508325
hsa04380 Osteoclast differentiation	0.450977014210705	0.254150124332997	0.487674452213402	0.411597499412945	0.0414312900870928	0.361205791828187	0.957646013534953	0.00849872953844047	0.593692556794142	0.267399700467693	0.333765926062046	0.265247249096463	0.349369171953474	0.275459360245676	0.219911358289142	0.333355296024305	5.61138153409166
hsa00380 Tryptophan metabolism	0.298360264343943	0.252113844751768	0.340706135285751	0.647187269209396	0.442594393251155	0.2718011479526	0.705262420496983	0.483774021197003	0.369430707691075	0.332220394256078	0.298113800747963	0.317071616536997	0.396373982350657	0.378145408013749	0.335048713974133	0.389467805878566	6.25767192593782
hsa04145 Phagosome	0.0950489170620469	0.130657149355336	0.320935007274943	0.594565028183933	0.0240469673037466	0.999882676305564	0.999027661446722	0.99999913269416	0.462780827596208	0.245020378876232	0.568900635159788	0.5350703463462	0.396373982350657	0.541961847014613	0.501652867650335	0.730280862161561	8.14620428678204
hsa04670 Leukocyte transendothelial migration	0.264528789317505	0.424388132235883	0.500081746840294	0.682486099844362	0.194769987595922	0.999882676305564	0.999027661446722	0.731351688631197	0.593692556794142	0.631216253585543	0.657623623910299	0.512488435014927	0.743520293986824	0.645716463088759	0.501652867650335	0.694627791692477	9.77705506794076
hsa04970 Salivary secretion	0.298360264343943	0.614906344326789	0.500081746840294	0.585350603836369	0.240438720783642	0.999882676305564	0.999027661446722	0.97654361327316	0.593692556794142	0.654878714407148	0.657569207426046	0.5350703463462	0.6760364681052	0.588894386047031	0.501652867650335	0.696900668726711	10.1192868466593
hsa04974 Protein digestion and absorption	0.214204200858186	0.395122873519621	0.812153194565258	0.104461073153845	0.438315135223878	0.999882676305564	0.277025576253283	0.99999913269416	0.781220551960903	0.742301303773648	0.771488617605754	0.755016384699187	0.79625248568957	0.726456806325467	0.894755745420425	0.730280862161561	10.4389366202103
hsa00590 Arachidonic acid metabolism	0.294965365736983	0.852359904823814	0.877624143049621	0.594565028183933	0.383355803668144	0.815842808009075	0.999027661446722	0.883483674012514	0.593692556794142	0.712501279150068	0.657569207426046	0.469634409862221	0.624602378494202	0.675626788667195	0.501652867650335	0.706988677494894	10.6434925544699
hsa04976 Bile secretion	0.430168426123912	0.271849252565387	0.889280724950952	0.654173929921337	0.442594393251155	0.999882676305564	0.999027661446722	0.99999913269416	0.703962437692864	0.896427317429313	0.643318824556277	0.549320924104345	0.743520293986824	0.716176023285886	0.588498555380554	0.695381619708604	11.2235821934039
hsa04972 Pancreatic secretion	0.298360264343943	0.745607352010339	0.889280724950952	0.594565028183933	0.325780270387972	0.999882676305564	0.999027661446722	0.99999913269416	0.703962437692864	0.711469747697364	0.657569207426046	0.577265817322681	0.690710368310177	0.645716463088759	0.717170512156719	0.695381619708604	11.2517492837268
hsa04971 Gastric acid secretion	0.518167814293759	0.395122873519621	0.889280724950952	0.963574539618944	0.438315135223878	0.999882676305564	0.999027661446722	0.99999913269416	0.593692556794142	0.654878714407148	0.817953223265466	0.545769443835647	0.690710368310177	0.645716463088759	0.501652867650335	0.695381619708604	11.3491258151139
hsa04920 Adipocytokine signaling pathway	0.576433292767209	0.614906344326789	0.889280724950952	0.788090827239985	0.397055278047052	0.553068539793486	0.999027661446722	0.731351688631197	0.781220551960903	0.882066875163776	0.817953223265466	0.735955202020021	0.743520293986824	0.866972509176338	0.868981767196194	0.920985488070939	12.1668702680439
hsa04664 Fc epsilon RI signaling pathway	0.802710142007139	0.91906693561771	0.911168810575221	0.946351772141153	0.750359014063649	0.999882676305564	0.999027661446722	0.883483674012514	0.703962437692864	0.695838110326307	0.657623623910299	0.577265817322681	0.652298722510207	0.645716463088759	0.55678345214776	0.695381619708604	12.3969209328772
hsa04662 B cell receptor signaling pathway	0.570264345993879	0.91906693561771	0.889280724950952	0.946351772141153	0.943909921416862	0.815842808009075	0.999027661446722	0.883483674012514	0.599047442144142	0.631216253585543	0.744371452007545	0.735955202020021	0.743520293986824	0.645716463088759	0.717170512156719	0.695381619708604	12.479607082287
hsa00260 Glycine, serine and threonine metabolism	0.693064334789858	0.999998867066366	0.975231820140262	0.788090827239985	0.582609679886036	0.999882676305564	0.591350084926068	0.99999913269416	0.781220551960903	0.728778992676975	0.678915106921816	0.746651680053414	0.652298722510207	0.716176023285886	0.717170512156719	0.93902610060168	12.5904651132159
hsa00760 Nicotinate and nicotinamide metabolism	0.693064334789858	0.97680443551022	0.911168810575221	0.695591284622826	0.567570064898204	0.82090213465799	0.83083780887985	0.883483674012514	0.913257270121783	0.902278879538913	0.817953223265466	0.735955202020021	0.773148834772031	0.726456806325467	0.842580811077424	0.821736487974973	12.9127900630428
hsa04340 Hedgehog signaling pathway	0.626168603902899	0.970066277015414	0.812153194565258	0.77280511790236	0.542292098850749	0.999882676305564	0.999027661446722	0.838295717717192	0.703962437692864	0.902278879538913	0.743853801541462	0.735955202020021	0.907126394159928	0.726456806325467	0.852206404228553	0.821736487974973	12.9542677611883
hsa00250 Alanine, aspartate and glutamate metabolism	0.585586546171198	0.852359904823814	0.911168810575221	0.654173929921337	0.542292098850749	0.999882676305564	0.999027661446722	0.62481553938702	0.903620537139843	0.902278879538913	0.875036154178732	0.782760507594748	0.900071227601508	0.775047286248967	0.931099420076813	0.8542087456086	13.0934299254697
hsa00830 Retinol metabolism	0.629724642902121	0.745607352010339	0.500081746840294	0.456582667857547	0.723018152465364	0.815842808009075	0.591350084926068	0.99999913269416	0.999999246947886	0.918848080894428	0.900266821759309	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	13.2813100416217
hsa04512 ECM-receptor interaction	0.294965365736983	0.999998867066366	0.911168810575221	0.456582667857547	0.626402203631018	0.999882676305564	0.243346844982429	0.97654361327316	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.964856599197562	0.993805197722695	0.999997733630992	13.467546587351
hsa04270 Vascular smooth muscle contraction	0.518167814293759	0.91906693561771	0.911168810575221	0.84424738154226	0.438315135223878	0.999882676305564	0.999027661446722	0.97654361327316	0.866723662292004	0.902278879538913	0.817953223265466	0.809578351087474	0.79625248568957	0.855819761560172	0.842580811077424	0.999997733630992	13.4976049364203
hsa00330 Arginine and proline metabolism	0.543650613829529	0.970066277015414	0.975231820140262	0.948565702323313	0.939137524662654	0.999882676305564	0.957646013534953	0.838295717717192	0.703962437692864	0.896427317429313	0.817953223265466	0.735955202020021	0.79625248568957	0.716176023285886	0.717170512156719	0.999997733630992	13.5563712806997
hsa04975 Fat digestion and absorption	0.518167814293759	0.91906693561771	0.999992485707731	0.84424738154226	0.438315135223878	0.999882676305564	0.999027661446722	0.99999913269416	0.799187118492369	0.83000528959632	0.817953223265466	0.809578351087474	0.900071227601508	0.894503061621995	0.868981767196194	0.999997733630992	13.6389769953241
hsa04010 MAPK signaling pathway	0.909212755174733	0.999998867066366	0.911168810575221	0.948565702323313	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.781220551960903	0.83000528959632	0.744371452007545	0.625650741084488	0.740180500357178	0.675626788667195	0.717170512156719	0.822316490815584	13.6435354568947
hsa04960 Aldosterone-regulated sodium reabsorption	0.585586546171198	0.745607352010339	0.911168810575221	0.749112407743936	0.438315135223878	0.984393243335708	0.999027661446722	0.84966456159508	0.916725346589331	0.902278879538913	0.957399093384483	0.928870900642556	0.964692265802151	0.894503061621995	0.904717456209497	0.93902610060168	13.6710888224927
hsa00770 Pantothenate and CoA biosynthesis	0.664271626438944	0.999998867066366	0.911168810575221	0.946351772141153	0.584584453387196	0.999882676305564	0.999027661446722	0.99999913269416	0.94979930495767	0.83000528959632	0.744371452007545	0.750479339932279	0.79625248568957	0.726456806325467	0.868981767196194	0.99531924689311	13.7669506926535
hsa04973 Carbohydrate digestion and absorption	0.585586546171198	0.91906693561771	0.999992485707731	0.647187269209396	0.542292098850749	0.984393243335708	0.999027661446722	0.97654361327316	0.950769039037993	0.903410622740832	0.817953223265466	0.999998918204833	0.809287021549187	0.894503061621995	0.986403565655633	0.93902610060168	13.95544140629
hsa04742 Taste transduction	0.52090900352939	0.852163724918036	0.911168810575221	0.675846782044613	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.94979930495767	0.83000528959632	0.817953223265466	0.928870900642556	0.743520293986824	0.894503061621995	0.894755745420425	0.999997733630992	13.9575408692986
hsa00360 Phenylalanine metabolism	0.591479292785144	0.718578198252274	0.911168810575221	0.84424738154226	0.438315135223878	0.999882676305564	0.999027661446722	0.99999913269416	0.94979930495767	0.902278879538913	0.900266821759309	0.924298648751009	0.938301978600616	0.909930913153943	0.940818163278901	0.999997733630992	13.9683907324966
hsa04660 T cell receptor signaling pathway	0.909212755174733	0.852163724918036	0.989378848963014	0.952083000539961	0.596504819383137	0.778395480784817	0.999027661446722	0.669158583513636	0.94979930495767	0.902278879538913	0.900266821759309	0.811145477989539	0.907126394159928	0.894503061621995	0.904717456209497	0.956763297353721	13.9725255683146
hsa02010 ABC transporters	0.611473971348437	0.91906693561771	0.911168810575221	0.946351772141153	0.584584453387196	0.999882676305564	0.999027661446722	0.731351688631197	0.94979930495767	0.902278879538913	0.875036154178732	0.809578351087474	0.983328815860384	0.855819761560172	0.993805197722695	0.976097387480457	14.0486518218397
hsa04360 Axon guidance	0.518167814293759	0.91906693561771	0.911168810575221	0.682486099844362	0.752761409891003	0.999882676305564	0.999027661446722	0.430155523057345	0.987069064995155	0.999999570773069	0.974447818886799	0.999998918204833	0.983328815860384	0.928594582927912	0.999995975157299	0.999997733630992	14.0861494114681
hsa03320 PPAR signaling pathway	0.518167814293759	0.615256309562083	0.911168810575221	0.84424738154226	0.438315135223878	0.999882676305564	0.783761086352262	0.97654361327316	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	14.0873303919662
hsa00140 Steroid hormone biosynthesis	0.585586546171198	0.718578198252274	0.812153194565258	0.647187269209396	0.939137524662654	0.999882676305564	0.999027661446722	0.731351688631197	0.94979930495767	0.902278879538913	0.960300112951839	0.999998918204833	0.999998828643687	0.928594582927912	0.993805197722695	0.999997733630992	14.1676783178228
hsa04744 Phototransduction	0.585586546171198	0.999998867066366	0.911168810575221	0.84424738154226	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.866723662292004	0.83000528959632	0.817953223265466	0.809578351087474	0.79625248568957	0.928594582927912	0.940818163278901	0.999997733630992	14.2689720922328
hsa00983 Drug metabolism - other enzymes	0.664271626438944	0.98651119676494	0.911168810575221	0.84424738154226	0.939137524662654	0.999882676305564	0.783761086352262	0.99999913269416	0.94979930495767	0.902278879538913	0.869570422481494	0.864342665687444	0.900071227601508	0.894503061621995	0.985066957956516	0.986654857895695	14.4812668130772
hsa00533 Glycosaminoglycan biosynthesis - keratan sulfate	0.999999262969448	0.999998867066366	0.94788684695147	0.946351772141153	0.876129309945787	0.999882676305564	0.999027661446722	0.883483674012514	0.923372947798631	0.902278879538913	0.817953223265466	0.809578351087474	0.811529982188522	0.874399232904932	0.894755745420425	0.999997733630992	14.6866261666744
hsa00601 Glycosphingolipid biosynthesis - lacto and neolacto series	0.771223804664713	0.999998867066366	0.975231820140262	0.99999373963514	0.999998777505132	0.999882676305564	0.999027661446722	0.838295717717192	0.94979930495767	0.902278879538913	0.875036154178732	0.809578351087474	0.907126394159928	0.894503061621995	0.904717456209497	0.999997733630992	14.8266903998663
hsa00512 Mucin type O-Glycan biosynthesis	0.543650613829529	0.91906693561771	0.911168810575221	0.98386529308668	0.596504819383137	0.999882676305564	0.999027661446722	0.917150095649445	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.99526480751467	0.999997733630992	14.8655733030894
hsa04966 Collecting duct acid secretion	0.629724642902121	0.796652483967684	0.911168810575221	0.84424738154226	0.939137524662654	0.815842808009075	0.999027661446722	0.99999913269416	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.967537546207291	0.999995975157299	0.999997733630992	14.903327708167
hsa04740 Olfactory transduction	0.817872146517033	0.91906693561771	0.911168810575221	0.99999373963514	0.9986799986953	0.999882676305564	0.999027661446722	0.99999913269416	0.94979930495767	0.83000528959632	0.875036154178732	0.999998918204833	0.999998828643687	0.645716463088759	0.985066957956516	0.999997733630992	14.9313107517444
hsa04614 Renin-angiotensin system	0.709088274396326	0.990740971351003	0.975231820140262	0.727706003958219	0.939137524662654	0.999882676305564	0.591350084926068	0.99999913269416	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	14.9331240532723
hsa04320 Dorso-ventral axis formation	0.716360864010115	0.999998867066366	0.975231820140262	0.84424738154226	0.939137524662654	0.999882676305564	0.999027661446722	0.883483674012514	0.94979930495767	0.902278879538913	0.960300112951839	0.999998918204833	0.983328815860384	0.928594582927912	0.940818163278901	0.999997733630992	15.0224869805379
hsa00350 Tyrosine metabolism	0.629724642902121	0.796652483967684	0.911168810575221	0.946351772141153	0.878333234109433	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.902278879538913	0.974447818886799	0.999998918204833	0.999998828643687	0.999997848678269	0.993805197722695	0.999997733630992	15.0316648863961
hsa04916 Melanogenesis	0.827194135989808	0.999998867066366	0.911168810575221	0.99999373963514	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.94979930495767	0.902278879538913	0.900266821759309	0.782760507594748	0.983328815860384	0.894503061621995	0.993805197722695	0.999997733630992	15.0831428710623
hsa00120 Primary bile acid biosynthesis	0.543650613829529	0.852359904823814	0.975231820140262	0.84424738154226	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.153524280283
hsa00340 Histidine metabolism	0.674448915641932	0.796652483967684	0.975231820140262	0.946351772141153	0.939137524662654	0.999882676305564	0.999027661446722	0.84966456159508	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.1803849807391
hsa04012 ErbB signaling pathway	0.874934125383194	0.970066277015414	0.975231820140262	0.99999373963514	0.582609679886036	0.999882676305564	0.999027661446722	0.949358181916262	0.972246865165695	0.965872954204864	0.974447818886799	0.999998918204833	0.983328815860384	0.964598571001838	0.993805197722695	0.999997733630992	15.2054010364067
hsa00980 Metabolism of xenobiotics by cytochrome P450	0.577975715528469	0.91906693561771	0.889280724950952	0.946351772141153	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.2707097081854
hsa04510 Focal adhesion	0.518167814293759	0.96801216852672	0.911168810575221	0.946351772141153	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.281735125484
hsa04530 Tight junction	0.664271626438944	0.91906693561771	0.911168810575221	0.99999373963514	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.918848080894428	0.974447818886799	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.3258325584203
hsa00604 Glycosphingolipid biosynthesis - ganglio series	0.757591402254687	0.999998867066366	0.911168810575221	0.756382433900441	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.3631760737439
hsa04810 Regulation of actin cytoskeleton	0.585586546171198	0.999998867066366	0.911168810575221	0.99999373963514	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.4347825233951
hsa04730 Long-term depression	0.664271626438944	0.999998867066366	0.911168810575221	0.99999373963514	0.939137524662654	0.999882676305564	0.999027661446722	0.97654361327316	0.987069064995155	0.999999570773069	0.999999442802024	0.999998918204833	0.983328815860384	0.999997848678269	0.999995975157299	0.999997733630992	15.4604118895058
hsa00534 Glycosaminoglycan biosynthesis - heparan sulfate	0.611473971348437	0.96801216852672	0.975231820140262	0.99999373963514	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.999999570773069	0.974447818886799	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.4671946356825
hsa00561 Glycerolipid metabolism	0.771223804664713	0.999998867066366	0.911168810575221	0.99999373963514	0.939137524662654	0.999882676305564	0.999027661446722	0.883483674012514	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.503904323207
hsa04370 VEGF signaling pathway	0.664271626438944	0.970066277015414	0.975231820140262	0.99999373963514	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.999800226305223	0.999999442802024	0.999998918204833	0.983328815860384	0.999997848678269	0.999995975157299	0.999997733630992	15.5307286659258
hsa04540 Gap junction	0.664271626438944	0.999998867066366	0.975231820140262	0.99999373963514	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.5775306132279
hsa00100 Steroid biosynthesis	0.999999262969448	0.999998867066366	0.999992485707731	0.99999373963514	0.582609679886036	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.5814910705492
hsa00982 Drug metabolism - cytochrome P450	0.732364601971008	0.999998867066366	0.911168810575221	0.99999373963514	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.5815605791949
hsa00270 Cysteine and methionine metabolism	0.909212755174733	0.97680443551022	0.975231820140262	0.946351772141153	0.999998777505132	0.999882676305564	0.999027661446722	0.99999913269416	0.987069064995155	0.918848080894428	0.974447818886799	0.999998918204833	0.999998828643687	0.928594582927912	0.993805197722695	0.999997733630992	15.6092692568244
hsa00051 Fructose and mannose metabolism	0.984681195773594	0.999998867066366	0.999992485707731	0.788090827239985	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.7107979357348
hsa04115 p53 signaling pathway	0.802710142007139	0.999998867066366	0.975231820140262	0.948565702323313	0.999998777505132	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.7254023443267
hsa00410 beta-Alanine metabolism	0.893582962247071	0.999998867066366	0.975231820140262	0.948565702323313	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.7554139117242
hsa04144 Endocytosis	0.997215574497286	0.999998867066366	0.975231820140262	0.99999373963514	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.973064043778628	0.902278879538913	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.7858186668828
hsa04260 Cardiac muscle contraction	0.962612293630674	0.999998867066366	0.911168810575221	0.99999373963514	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.99526480751467	0.999997733630992	15.8070771032119
hsa04150 mTOR signaling pathway	0.909212755174733	0.999998867066366	0.975231820140262	0.99999373963514	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.8224717419637
hsa04146 Peroxisome	0.932632223466445	0.999998867066366	0.911168810575221	0.99999373963514	0.999998777505132	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.8426894535328
hsa00010 Glycolysis / Gluconeogenesis	0.999999262969448	0.999998867066366	0.975231820140262	0.946351772141153	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.8596162822644
hsa04977 Vitamin digestion and absorption	0.893582962247071	0.999998867066366	0.975231820140262	0.99999373963514	0.994468350103698	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.862172774477
hsa00230 Purine metabolism	0.962612293630674	0.999998867066366	0.975231820140262	0.99999373963514	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.8758712804196
hsa00500 Starch and sucrose metabolism	0.997215574497286	0.999998867066366	0.999992485707731	0.946351772141153	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.8815932593597
hsa04350 TGF-beta signaling pathway	0.997215574497286	0.999998867066366	0.999992485707731	0.948565702323313	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.999999570773069	0.999999442802024	0.999998918204833	0.999998828643687	0.999997848678269	0.999995975157299	0.999997733630992	15.8838071895419
hsa04330 Notch signaling pathway	0.984681195773594	0.999998867066366	0.999992485707731	0.99999373963514	0.939137524662654	0.999882676305564	0.999027661446722	0.99999913269416	0.999999246947886	0.999800226305223	0.999999442802024	0.999998918204833	0.999998828643687	0.967537546207291	0.99526480751467	0.999997733630992	15.8853100335485
